A,B,C,D
1.0,21.0,-5.659999985694885,242.32000000357627
2.0,35.0,-3.709999997615814,382.31000001311304
3.0,23.0,-1.8600000035762787,262.29999999284746
4.0,26.0,0.13999999642372132,292.16999999761583
5.0,34.0,2.1500000017881393,372.0300000007451
6.0,31.0,4.340000014305115,342.0399999986589
7.0,27.0,5.999999999552966,301.999999999553
8.0,26.0,8.340000014305115,292.3200000035763
9.0,32.0,10.210000004172326,352.1600000071526
10.0,16.0,12.080000001490117,192.32000000357627
11.0,29.0,14.28000001192093,321.999999999553
12.0,1.0,16.039999998658896,42.01999999910593
13.0,31.0,18.210000004172326,342.05000000029804
14.0,38.0,20.199999998807908,412.2900000023842
15.0,34.0,21.999999999552966,372.2199999946356
16.0,37.0,24.009999999329448,402.35999999523165
17.0,16.0,26.130000005960465,192.0800000014901
18.0,30.0,28.369999985694886,332.2399999904633
19.0,9.0,30.250000010728836,122.12000000059605
20.0,33.0,32.0399999986589,362.2900000023842
21.0,31.0,34.05999999821186,342.3500000047684
22.0,36.0,36.21999999463558,392.2199999946356
23.0,14.0,38.34000001430511,172.12000000059604
24.0,11.0,40.03999999865889,142.3400000143051
25.0,2.0,42.199999998807904,52.01999999910593
26.0,34.0,44.08000000149011,372.05000000029804
27.0,27.0,46.189999993443486,302.21000000417234
28.0,4.0,48.29000000238418,72.00999999932945
29.0,5.0,50.08000000149011,82.12000000059605
30.0,29.0,52.35000000476837,322.2900000023842
31.0,4.0,54.05000000029802,72.08999999940396
32.0,23.0,56.08000000149011,262.01999999910595
33.0,20.0,58.08999999940395,232.10999999523162
34.0,15.0,60.23,181.98999999977647
35.0,7.0,62.09999999731779,102.29999999284745
36.0,12.0,64.18000000298022,152.01999999910592
37.0,29.0,66.00999999932945,321.999999999553
38.0,39.0,68.10999999523163,422.1300000059605
39.0,29.0,70.34000001430512,322.3200000035763
40.0,38.0,72.21000000417233,412.18000000298025
41.0,32.0,74.12000000059605,351.9899999997765
42.0,29.0,76.32000000357628,322.00999999932947
43.0,25.0,78.23999999046326,282.2399999904633
44.0,24.0,80.21999999463559,272.13999999642374
45.0,36.0,82.2600000011921,392.1999999988079
46.0,11.0,84.10999999523163,142.3400000143051
47.0,19.0,86.19999999880791,222.18999999344348
48.0,15.0,88.35000000476838,182.23999999046325
49.0,6.0,90.21000000417233,91.99999999955297
50.0,38.0,92.13999999642373,412.3200000035763
51.0,33.0,94.35000000476838,362.16999999761583
52.0,0.0,95.98999999977649,32.18999999344349
53.0,32.0,98.05000000029803,352.1899999934435
54.0,3.0,100.10999999523163,62.16999999761581
55.0,10.0,102.32999999403954,132.00999999932944
56.0,33.0,104.05000000029803,362.26999999165537
57.0,20.0,106.32000000357628,232.21999999463557
58.0,20.0,108.12000000059605,232.35000000476836
59.0,7.0,110.23,102.13000000596047
60.0,13.0,112.13000000596047,162.26000000119208
61.0,21.0,113.99999999955297,242.03999999865889
62.0,2.0,116.16999999761582,52.009999999329445
63.0,39.0,118.16000000715256,422.15000000178816
64.0,17.0,120.07000000357628,202.15000000178813
65.0,17.0,122.19999999880791,202.21999999463557
66.0,37.0,124.31000001311303,402.34000001430513
67.0,30.0,126.21000000417233,332.08000000149013
68.0,11.0,128.3500000047684,142.15000000178813
69.0,28.0,130.32000000357627,312.25000001072885
70.0,15.0,132.01999999910592,182.21000000417231
71.0,3.0,134.32999999403953,62.32999999403953
72.0,33.0,136.3400000143051,362.0599999982119
73.0,28.0,137.99999999955295,312.29999999284746
74.0,32.0,140.15000000178813,352.25000001072885
75.0,35.0,142.07000000357627,382.2399999904633
76.0,15.0,144.35999999523162,182.0800000014901
77.0,12.0,146.07000000357627,152.36999998569488
78.0,35.0,148.32000000357627,382.2399999904633
79.0,23.0,149.99999999955295,262.32999999403955
80.0,10.0,152.1399999964237,132.0800000014901
81.0,39.0,154.1399999964237,422.29999999284746
82.0,22.0,156.050000000298,252.18999999344348
83.0,6.0,158.01999999910592,92.21999999463559
84.0,10.0,160.29999999284743,132.26000000119208
85.0,28.0,162.15000000178813,312.12000000059606
86.0,39.0,164.03000000074505,421.9899999997765
87.0,15.0,166.10999999523162,182.36999998569488
88.0,12.0,168.050000000298,152.1999999988079
89.0,17.0,170.08999999940394,202.15000000178813
90.0,2.0,172.21000000417231,52.23
91.0,23.0,174.26999999165534,262.21000000417234
92.0,4.0,176.00999999932944,72.08000000149012
93.0,5.0,179.0,82.13999999642373
94.0,8.0,179.98,112.12000000059605
95.0,13.0,182.23999999046325,162.0800000014901
96.0,29.0,184.15000000178813,322.2900000023842
97.0,0.0,186.12000000059604,32.230000000000004
98.0,32.0,188.32000000357627,352.10999999523165
99.0,32.0,190.29999999284743,352.0300000007451
100.0,10.0,192.0800000014901,132.23
