A,B,C,D
1.0,38.0,-5.659999985694885,412.2199999946356
2.0,26.0,-3.879999999403953,292.05000000029804
3.0,33.0,-1.7899999958276749,362.13999999642374
4.0,33.0,0.05999999821186065,362.35999999523165
5.0,25.0,2.239999990463257,282.16999999761583
6.0,32.0,4.310000013113022,352.28000001192095
7.0,26.0,6.340000014305115,291.9899999997765
8.0,18.0,8.120000000596047,212.310000013113
9.0,13.0,10.329999994039536,162.0800000014901
10.0,25.0,11.999999999552966,282.18000000298025
11.0,33.0,14.26999999165535,361.9899999997765
12.0,26.0,16.290000002384186,292.0700000035763
13.0,1.0,18.18999999344349,42.09999999731779
14.0,4.0,20.329999994039536,72.10999999523163
15.0,27.0,22.369999985694886,302.2900000023842
16.0,6.0,24.15000000178814,92.36999998569489
17.0,28.0,26.239999990463257,312.2199999946356
18.0,1.0,28.09999999731779,42.239999990463254
19.0,19.0,30.15000000178814,222.35000000476836
20.0,32.0,32.099999997317795,352.1999999988079
21.0,36.0,34.18000000298023,392.15000000178816
22.0,5.0,36.26999999165535,82.15000000178814
23.0,5.0,38.070000003576276,82.35000000476838
24.0,20.0,40.32999999403953,232.01999999910592
25.0,16.0,42.05999999821186,192.1999999988079
26.0,5.0,44.359999995231625,82.29999999284745
27.0,27.0,46.280000011920926,302.31000001311304
28.0,26.0,48.29999999284744,292.2199999946356
29.0,2.0,50.09999999731779,52.03999999865889
30.0,5.0,52.31000001311302,82.36999998569489
31.0,9.0,53.99999999955296,122.32000000357628
32.0,4.0,55.98,72.21000000417233
33.0,20.0,58.29000000238418,232.29999999284743
34.0,5.0,60.03999999865889,82.29000000238419
35.0,35.0,62.16999999761581,382.00999999932947
36.0,22.0,64.28000001192092,252.01999999910592
37.0,12.0,66.00999999932945,152.29999999284743
38.0,8.0,68.18000000298024,111.99999999955297
39.0,30.0,70.35000000476838,332.1300000059605
40.0,5.0,72.32999999403954,82.25000001072884
41.0,19.0,74.07000000357628,222.26999999165534
42.0,17.0,76.15000000178814,202.21999999463557
43.0,3.0,78.21000000417233,62.26999999165535
44.0,14.0,80.08000000149012,172.15000000178813
45.0,16.0,82.08000000149012,192.29000000238418
46.0,36.0,84.05000000029803,392.25000001072885
47.0,14.0,86.21999999463559,172.26000000119208
48.0,36.0,88.23,391.999999999553
49.0,18.0,90.12000000059605,212.10999999523162
50.0,13.0,92.29000000238419,162.21999999463557
51.0,30.0,94.0999999973178,332.2399999904633
52.0,13.0,96.25000001072884,162.36999998569488
53.0,27.0,98.16999999761582,302.34000001430513
54.0,16.0,100.08000000149012,192.00999999932944
55.0,0.0,102.07000000357628,32.13000000596047
56.0,10.0,104.25000001072884,132.1699999976158
57.0,25.0,106.00999999932945,282.2600000011921
58.0,5.0,108.08000000149012,82.0399999986589
59.0,20.0,110.13999999642373,232.36999998569488
60.0,1.0,112.32000000357628,42.009999999329445
61.0,22.0,114.23999999046326,252.09999999731778
62.0,39.0,116.29999999284745,422.1999999988079
63.0,32.0,118.23,352.26999999165537
64.0,1.0,120.31000001311303,42.21000000417232
65.0,39.0,122.23999999046326,422.3500000047684
66.0,17.0,124.29000000238419,201.99999999955295
67.0,27.0,126.28000001192093,302.2600000011921
68.0,2.0,128.08000000149013,52.13999999642372
69.0,18.0,130.35999999523162,212.3400000143051
70.0,13.0,132.28000001192092,161.98999999977647
71.0,9.0,133.99999999955295,121.98
72.0,30.0,136.1399999964237,332.35999999523165
73.0,1.0,138.29999999284743,42.05999999821186
74.0,25.0,140.18000000298022,282.1300000059605
75.0,5.0,142.13000000596045,81.98999999977649
76.0,8.0,144.36999998569488,112.26999999165535
77.0,20.0,146.21000000417231,232.3400000143051
78.0,7.0,148.18999999344348,102.32999999403954
79.0,21.0,150.00999999932944,242.21999999463557
80.0,39.0,152.35000000476836,422.12000000059606
81.0,12.0,153.98999999977647,152.35999999523162
82.0,8.0,156.07000000357627,112.05999999821186
83.0,6.0,158.12000000059604,91.99999999955297
84.0,15.0,160.21000000417231,182.03000000074505
85.0,10.0,162.1399999964237,132.35000000476836
86.0,14.0,164.18000000298022,172.13000000596045
87.0,0.0,166.32000000357627,32.23999999046326
88.0,28.0,168.07000000357627,312.16999999761583
89.0,7.0,170.09999999731778,102.31000001311303
90.0,12.0,172.29999999284743,152.35000000476836
91.0,4.0,174.1999999988079,72.2600000011921
92.0,20.0,176.35000000476836,232.05999999821185
93.0,5.0,178.10999999523162,82.16999999761582
94.0,35.0,180.36999998569488,382.12000000059606
95.0,33.0,182.13000000596045,362.3500000047684
96.0,24.0,184.26000000119208,272.1999999988079
97.0,19.0,186.08999999940394,222.18999999344348
98.0,35.0,188.10999999523162,382.12000000059606
99.0,38.0,190.26999999165534,412.2900000023842
100.0,31.0,192.07000000357627,342.35999999523165
